EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,ENTITY_NAME,DISPLAY_TYPE,RENDERING_TYPE,REPORT_ID,ROW_COUNT,NUMBER_EXCEPTION_FILTERS,NUMBER_COLUMNS,AVERAGE_ROW_SIZE,SORT,DB_BLOCKS,DB_CPU_TIME,NUMBER_BUCKETS,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED,REPORT_ID_DERIVED
Report,20170909074614,45nXBEcKpy7FAk07dboxX-,00D58000000KUZ6,00558000000oE5a,478.75,383,,sample,sample,R,46.5983333333,Account,D,X,00O58000004IyIE,50,0,14,50,,1825,306.4,0,2017-09-09T07:46:14.000Z,00558000000oE5aAAE,156.226.6.98,,00O58000004IyIEEA0
Report,20170906063510,45cFCSfJmk2TPx14rlkfA-,00D58000000KUZ6,00558000000oE5a,302.5,242,,sample1,sample1,F,24.2968,Account,D,W,00O58000004IyI9,100,0,7,50,,1506,193.6,0,2017-09-06T06:35:10.000Z,00558000000oE5aAAE,245.57.23.167,,00O58000004IyI9EAK
Report,20170921173342,45vAZRjChn9NId11htinJ-,00D58000000KUZ6,00558000000oE5a,103.012,56,,sample2,sample2,F,82.4096,Opportunity,S,X,00O58000004IyI4,200,0,13,100,,1825,44.8,0,2017-09-21T17:33:42.000Z,00558000000oE5mAAE,77.61.187.26,,00O58000004IyI4EAK
Report,20170909074615,45nXBEcKpy7FAk07dboxX-,00D58000000KUZ7,00558000000oE5a,478.75,383,,sample3,sample3,R,46.59833333,Account,D,X,00O30000008Y39u,130,0,14,51,,1506,306.4,0,2016-09-21T17:33:42.000Z,005B0000002F9o6IAC,179.182.39.88,,00O30000008Y39uEAC
Report,20170906063511,45cFCSfJmk2TPx14rlkfA-,00D58000000KUZ7,00558000000oE5a,302.5,242,,sample4,sample4,F,24.2968,Account,D,W,00O30000008Y39Q,355,0,7,51,,22074,193.6,0,2016-09-21T12:53:00.000Z,005B0000002F9pYIAS,251.115.43.7,,00O30000008Y39QEAS
Report,20170921173343,45vAZRjChn9NId11htinJ-,00D58000000KUZ7,00558000000oE5a,103.012,56,,sample5,sample5,F,82.4096,Opportunity,S,X,00O30000008Y6TE,179,0,13,101,,4611,44.8,0,2016-09-26T08:37:36.000Z,005B0000002F9rBIAS,39.105.208.2,,00O30000008Y6TEEA0
Report,20170909074616,45nPRHkHpq2BSc85ytzvW-,00D58000000KUZ8,00558000000oE5a,287.5,230,,sample6,sample6,R,70.702,Account,H,W,00O30000008Y6fo,79,0,5,52,,23954,184,0,2016-09-16T04:55:46.000Z,005B0000002F9oTIAS,75.19.234.157,,00O30000008Y6foEAC
Report,20170909074615,45wNQKnMbh9UHj82adbpX-,00D58000000KUZ8,00558000000oE5a,41.9195,21,,sample7,sample7,R,33.5356,Account,S,W,00O30000008Y6OJ,244,0,16,52,,15153,16.8,0,2016-09-21T03:45:38.000Z,005B0000002F9pfIAC,190.148.80.54,,00O30000008Y6OJEA0
Report,20170906063511,45kRDJgIst9QAr03ivwxC-,00D58000000KUZ8,00558000000oE5a,362.40925,287,,sample8,sample8,,289.9274,Opportunity,S,X,00O30000008Y6Od,185,0,11,102,,6385,229.6,0,2016-09-28T22:25:20.000Z,005B0000002F9o9IAC,202.217.102.229,,00O30000008Y6OdEAK
Report,20170921173343,45sWLGvZtl2VTt26rnfzJ-,00D58000000KUZ9,00558000000oE5a,490,392,,sample9,sample9,F,166.8613333,Account,H,X,00O30000008Y6Rr,187,0,6,53,,20247,313.6,0,2016-09-05T11:31:46.000Z,005B0000002F9o0IAC,26.55.149.100,,00O30000008Y6RrEAK
