EVENT_TYPE,TIMESTAMP,REQUEST_ID,ORGANIZATION_ID,USER_ID,RUN_TIME,CPU_TIME,URI,SESSION_KEY,LOGIN_KEY,REQUEST_STATUS,DB_TOTAL_TIME,DB_BLOCKS,DB_CPU_TIME,REFERRER_URI,TIMESTAMP_DERIVED,USER_ID_DERIVED,CLIENT_IP,URI_ID_DERIVED
URI,20170827075522,45qYNCkZin6HTs30techE-,00D58000000KUZ6,00558000000oE5a,901.8346667,472,/001,sample,sample,F,721.4677333,22928,377.6,,2017-08-27T07:55:22.000Z,00558000000oE5aAAE,113.255.205.116,/001
URI,20170828142552,45iQHBhPhy4HBf53uselH-,00D58000000KUZ6,00558000000oE5a,341.01375,165,/001/e,sample1,sample1,S,272.811,24801,132,,2017-08-28T14:25:52.000Z,00558000000oE5aAAE,156.226.6.98,/001/e
URI,20170822224302,45nIZXcChs4HEr38dxqjI-,00D58000000KUZ6,00558000000oE5m,448.75,359,/001/o,sample2,sample2,S,355.6493333,14860,287.2,,2017-08-22T22:43:02.000Z,00558000000oE5mAAE,190.148.80.54,/001/o
URI,20170827075522,45qYNCkZin6HTs30techE-,00DB0000000HbMZ,005B0000002F9oZIAS,901.8346667,472,/0013600000NDJPY,sample,sample,R,721.4677333,22928,377.6,,2017-08-27T07:55:22.000Z,005B0000002F9oZ,113.255.205.116,/001
URI,20170828142552,45iQHBhPhy4HBf53uselH-,00DB0000000HbMZ,005B0000002F9o6IAC,341.01375,165,/0013600000ZTBQR,sample2,sample2,,272.811,24801,132,,2017-08-28T14:25:52.000Z,005B0000002F9o6,156.226.6.98,/001/e
URI,20170822224302,45nIZXcChs4HEr38dxqjI-,00DB0000000HbMZ,005B0000002F9obIAC,448.75,359,/003,sample3,sample3,F,355.6493333,14860,287.2,,2017-08-22T22:43:02.000Z,005B0000002F9ob,190.148.80.54,/001/o
URI,20170808024440,45bDJAxZwa9CMa38pumeB-,00DB0000000HbMZ,005B0000002F9qUIAS,1031.640917,499,/003/o,sample,sample,S,825.3127333,24809,399.2,,2017-08-08T02:44:40.000Z,005B0000002F9qU,161.175.38.129,/0013600000NDJPY
URI,20170805184030,45vOLYmWkg8NAg24jhwfJ-,00DB0000000HbMZ,005B0000002F9oXIAS,320,256,/0033600000FfCxP,sample3,sample3,S,128.9216,7554,204.8,,2017-08-05T18:40:30.000Z,005B0000002F9oX,64.7.227.142,/0013600000ZTBQR
URI,20170827225656,45bOULqYmb2RCp33zlkgA-,00DB0000000HbMZ,005B0000002F9oEIAS,37.5,30,/0033600000FfCxP/e,sample4,sample4,R,29.05,14525,24,,2017-08-27T22:56:56.000Z,005B0000002F9oE,39.124.13.13,/003
URI,20170812160905,45zQDPtHdp2WTr91jrafO-,00DB0000000HbMZ,005B0000002F9pfIAC,498.04,240,/0033600000FfCxq,sample,sample,R,398.432,24902,192,,2017-08-12T16:09:05.000Z,005B0000002F9pf,82.47.66.40,/003/o
URI,20170814105851,45iIQNjSkb6UYl44ghmkI-,00DB0000000HbMZ,005B0000002F9rNIAS,371.25,297,/0033600000FfCxq/e,sample4,sample4,,139.4514,7043,237.6,,2017-08-14T10:58:51.000Z,005B0000002F9rN,174.84.112.226,/0033600000FfCxP
URI,20170820071820,45zLTObPhw0XQz10nuvyP-,00DB0000000HbMZ,005B0000002F9pxIAC,162.5,130,/0033600000FfCyi,sample5,sample5,F,33.39266667,3853,104,,2017-08-20T07:18:20.000Z,005B0000002F9px,215.92.91.238,/0033600000FfCxP/e
URI,20170806192359,45gRBHsEvx1YTr37kjezI-,00DB0000000HbMZ,005B0000002F9pYIAS,135,108,/0033600000FfCyi/e,sample,sample,R,27.1296,3768,86.4,,2017-08-06T19:23:59.000Z,005B0000002F9pY,245.57.23.167,/0033600000FfCxq
URI,20170827164228,45lQTOaGqn1JFg58wmflN-,00DB0000000HbMZ,005B0000002F9pxIAC,466.25,373,/005,sample5,sample5,F,310.2614,12477,298.4,,2017-08-27T16:42:28.000Z,005B0000002F9px,14.239.255.151,/0033600000FfCxq/e
URI,20170805231814,45kCYSfOnk0JGa78blwaH-,00DB0000000HbMZ,005B0000002F9rNIAS,558.2138333,322,/00536000002sx5h,sample6,sample6,R,446.5710667,20803,257.6,,2017-08-05T23:18:14.000Z,005B0000002F9rN,91.21.87.42,/0033600000FfCyi
URI,20170823004614,45cXOWuZvh4LJz78bhaoJ-,00DB0000000HbMZ,005B0000002F9o1IAC,46.25,37,/00O,sample,sample,,24.6272,9984,29.6,,2017-08-23T00:46:14.000Z,005B0000002F9o1,49.173.36.129,/0033600000FfCyi/e
URI,20170815033701,45qEACkJxs7HTo72vielD-,00DB0000000HbMZ,005B0000002F9oZIAS,883.6504167,437,/00O36000005FfKZ,sample6,sample6,F,706.9203333,24265,349.6,,2017-08-15T03:37:01.000Z,005B0000002F9oZ,110.40.15.18,/005
URI,20170814052624,45nHAFsBvz1VXg65azgbJ-,00DB0000000HbMZ,005B0000002F9o6IAC,21.25,17,/00O36000005FfKe,sample7,sample7,R,12.631,11145,13.6,,2017-08-14T05:26:24.000Z,005B0000002F9o6,156.226.6.98,/00536000002sx5h
URI,20170808092548,45aBDSrShw8RDy45wjvoE-,00DB0000000HbMZ,005B0000002F9pLIAS,118.75,95,/00O36000005FfL3,sample,sample,S,5.079333333,802,76,,2017-08-08T09:25:48.000Z,005B0000002F9pL,221.172.68.31,/00O
URI,20170814145641,45cPCEqGuc9TJo89tyxjP-,00DB0000000HbMZ,005B0000002F9pLIAS,257.5,206,/070,sample7,sample7,,4.669333333,340,164.8,,2017-08-14T14:56:41.000Z,005B0000002F9pL,34.164.70.164,/00O36000005FfKZ
URI,20170812095825,45eXVGzNvd6RLt46glcvL-,00DB0000000HbMZ,005B0000002F9q6IAC,30,24,/07036000000MzC2,sample8,sample8,F,20.0752,12547,19.2,,2017-08-12T09:58:25.000Z,005B0000002F9q6,89.158.45.195,/00O36000005FfKe
URI,20170816105943,45gYQBfUvi2TLr91oweiN-,00DB0000000HbMZ,005B0000002F9o9IAC,270.106,174,/_ui/analytics/crt/setup/CrtWizard,sample,sample,R,216.0848,18628,139.2,,2017-08-16T10:59:43.000Z,005B0000002F9o9,26.55.149.100,/00O36000005FfL3
URI,20170806164209,45dJXMaEoh3XFe45dpzaK-,00DB0000000HbMZ,005B0000002F9pXIAS,556.25,445,/_ui/analytics/crt/setup/CustomReportTypeSplashUi,sample8,sample8,F,377.9236667,12739,356,,2017-08-06T16:42:09.000Z,005B0000002F9pX,83.230.35.57,/070
URI,20170827043226,45hEYSiAhb1QJw68vkbiS-,00DB0000000HbMZ,005B0000002F9p8IAC,403.75,323,/_ui/common/data/LookupPage,sample9,sample9,F,56.99873333,2647,258.4,,2017-08-27T04:32:26.000Z,005B0000002F9p8,58.40.38.8,/07036000000MzC2
